"filename", "language", "YAML", "Markdown", "C#", "XML", "JSON", "Shell Script", "Batch", "JSON with Comments", "Properties", "TypeScript", "ASP.NET Razor", "HTML", "Docker", "CSS", "comment", "blank", "total"
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Services\LikeService.cs", "C#", 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 94
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Services\PostService.cs", "C#", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 104
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Services\UserService.cs", "C#", 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 115
"d:\диплом\treadnetattemp2\backend\Thread.NET.BLL\Thread.NET.BLL.csproj", "XML", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32
"d:\диплом\treadnetattemp2\backend\Thread.NET.Common\Auth\AccessToken.cs", "C#", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\диплом\treadnetattemp2\backend\Thread.NET.Common\Auth\JwtIssuerOptions.cs", "C#", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 10, 55
"d:\диплом\treadnetattemp2\backend\Thread.NET.Common\DTO\Auth\AccessTokenDTO.cs", "C#", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\диплом\treadnetattemp2\backend\Thread.NET.Common\DTO\Auth\RefreshTokenDTO.cs", "C#", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"d:\диплом\treadnetattemp2\backend\Thread.NET.Common\DTO\Auth\RevokeRefreshTokenDTO.cs", "C#", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\диплом\treadnetattemp2\backend\Thread.NET.Common\DTO\Comment\CommentDTO.cs", "C#", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
